"QueueId","RepoName","RepoPath","RepoPriorityBand","RepoPriorityScore","BatchType","BatchOrder","BatchChunkIndex","EstimatedComplexity","RecommendedCooldownSeconds","QueueScore","PromptFlavor","FileCount","Files","Goals","Warnings","PacketPath"
"GitHubRepoManagement.core.001","GitHubRepoManagement","G:\Development\GitHubRepoManagement","High","70","core","1","1","high","300","116","core-doc-modernization","5","backend\api-host\README.md; CONTRIBUTING.md; docs\architecture\adr.md; docs\architecture\architecture.md; docs\index.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Repo has 17 uncommitted change(s) - may be mid-surgery; verify before reviewing","G:\Development\GitHubRepoManagement\output\docreview-adapter\queue\copilot-packets\GitHubRepoManagement.core.001.md"
"GitHubRepoManagement.core.002","GitHubRepoManagement","G:\Development\GitHubRepoManagement","High","70","core","1","2","medium","180","111","core-doc-modernization","3","frontend\README.md; README.md; standards\README.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Repo has 17 uncommitted change(s) - may be mid-surgery; verify before reviewing","G:\Development\GitHubRepoManagement\output\docreview-adapter\queue\copilot-packets\GitHubRepoManagement.core.002.md"
"GitHubRepoManagement.operational.001","GitHubRepoManagement","G:\Development\GitHubRepoManagement","High","70","operational","2","1","medium","180","101","operational-doc-clarification","4",".github\ISSUE_TEMPLATE\standardization_task.md; standards\roadmap\ROADMAP_MATURITY_MODEL.md; standards\roadmap\ROADMAP_TEMPLATE.md; standards\roadmap\roadmap-repair-prompt.md","Make procedures easier to follow and verify | Clarify troubleshooting steps, warnings, and prerequisites | Reduce ambiguity in operational flows and runbooks | Improve scanability for maintenance and support use","Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Repo has 17 uncommitted change(s) - may be mid-surgery; verify before reviewing","G:\Development\GitHubRepoManagement\output\docreview-adapter\queue\copilot-packets\GitHubRepoManagement.operational.001.md"
"GitHubRepoManagement.reference.001","GitHubRepoManagement","G:\Development\GitHubRepoManagement","High","70","reference","3","1","medium","180","93","reference-doc-normalization","4","docs\reference\contracts.md; docs\reference\features.md; docs\reference\portfolio-assessment.md; docs\reference\roadmap-contracts.md","Normalize structure and terminology across reference docs | Improve scanability with disciplined headings and tables where useful | Reduce ambiguity while preserving technical precision | Keep formatting consistent and easy to navigate","Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Repo has 17 uncommitted change(s) - may be mid-surgery; verify before reviewing","G:\Development\GitHubRepoManagement\output\docreview-adapter\queue\copilot-packets\GitHubRepoManagement.reference.001.md"
"GitHubRepoManagement.general.001","GitHubRepoManagement","G:\Development\GitHubRepoManagement","High","70","general","4","1","medium","180","85","general-doc-improvement","4",".github\ISSUE_TEMPLATE\bug_report.md; .github\PULL_REQUEST_TEMPLATE.md; CODE_OF_CONDUCT.md; docs\governance\repository-structure.md","Improve structure and readability | Reduce repetition and vague wording | Standardize formatting and headings | Make content more deliberate and maintainable","Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Repo has 17 uncommitted change(s) - may be mid-surgery; verify before reviewing","G:\Development\GitHubRepoManagement\output\docreview-adapter\queue\copilot-packets\GitHubRepoManagement.general.001.md"
"GitHubRepoManagement.general.002","GitHubRepoManagement","G:\Development\GitHubRepoManagement","High","70","general","4","2","medium","180","83","general-doc-improvement","3","docs\product\portfolio-execution-console.md; SECURITY.md; SUPPORT.md","Improve structure and readability | Reduce repetition and vague wording | Standardize formatting and headings | Make content more deliberate and maintainable","Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Repo has 17 uncommitted change(s) - may be mid-surgery; verify before reviewing","G:\Development\GitHubRepoManagement\output\docreview-adapter\queue\copilot-packets\GitHubRepoManagement.general.002.md"
"GitHubRepoManagement.archival.001","GitHubRepoManagement","G:\Development\GitHubRepoManagement","High","70","archival","5","1","medium","180","81","archival-doc-tidy-pass","3","CHANGELOG.md; docs\history\completed-releases.md; ROADMAP.md","Clarify status and intent of planning or historical docs | Trim noise and improve readability without over-investing | Flag stale or speculative content for review | Preserve useful historical context while reducing clutter","Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Repo has 17 uncommitted change(s) - may be mid-surgery; verify before reviewing","G:\Development\GitHubRepoManagement\output\docreview-adapter\queue\copilot-packets\GitHubRepoManagement.archival.001.md"
